종목명,종목코드,현재가,거래량,거래대금,PER,PBR,EPS,BPS,배당률
뉴보텍,060260,1388.0,54967.0,76294196.0,,,,,
뉴엔AI,463020,6000.0,18764.0,112584000.0,,,,,
뉴온,123840,2000.0,14262.0,28524000.0,,,,,
뉴인텍,012340,749.0,219318.0,164269182.0,,,,,
뉴키즈온,462310,3465.0,11156.0,38655540.0,,,,,
뉴트리,270870,4700.0,11722.0,55093400.0,,,,,
뉴파워프라즈마,144960,9350.0,844033.0,7891708550.0,,,,,
뉴프렉스,085670,3085.0,48438.0,149431230.0,,,,,
다날,064260,4090.0,363306.0,1485921540.0,,,,,
다보링크,340360,873.0,397023.0,346601079.0,,,,,
다산네트웍스,039560,2295.0,87328.0,200417760.0,,,,,
다산솔루에타,154040,795.0,11018.0,8759310.0,,,,,
다스코,058730,4515.0,3702180.0,16715342700.0,,,,,
다올투자증권,030210,3425.0,41608.0,142507400.0,,,,,
다우기술,023590,35650.0,47740.0,1701931000.0,,,,,
다우데이타,032190,18290.0,55280.0,1011071200.0,,,,,
다원넥스뷰,323350,8900.0,30515.0,271583500.0,,,,,
다원시스,068240,2530.0,0.0,0.0,,,,,
다이나믹디자인,145210,224.0,0.0,0.0,,,,,
달바글로벌,483650,208500.0,123921.0,25837528500.0,,,,,
닷밀,464580,1485.0,24920.0,37006200.0,,,,,
대교,019680,970.0,172416.0,167243520.0,,,,,
대교우B,019685,729.0,12339.0,8995131.0,,,,,
대구백화점,006370,5870.0,597540.0,3507559800.0,,,,,
대덕1우,00806K,10980.0,2707.0,29722860.0,,,,,
대덕,008060,14620.0,98974.0,1446999880.0,,,,,
대덕전자,353200,138000.0,1323005.0,182574690000.0,,,,,
대덕전자1우,35320K,24950.0,8745.0,218187750.0,,,,,
대동고려삼,178600,1615.0,2.0,3230.0,,,,,
대동금속,020400,2965.0,75852.0,224901180.0,,,,,
대동기어,008830,9000.0,81814.0,736326000.0,,,,,
대동,000490,6690.0,89105.0,596112450.0,,,,,
대동스틸,048470,2590.0,20859.0,54024810.0,,,,,
대동전자,008110,,,,,,,,
대륙제관,004780,3940.0,101368.0,399389920.0,,,,,
대림바스,005750,4140.0,12546.0,51940440.0,,,,,
대림제지,017650,9100.0,10045.0,91409500.0,,,,,
대림통상,006570,2055.0,28522.0,58612710.0,,,,,
대명에너지,389260,13320.0,92155.0,1227504600.0,,,,,
대모,317850,5880.0,21769.0,128001720.0,,,,,
대보마그네틱,290670,5050.0,6125.0,30931250.0,,,,,
대봉엘에스,078140,7890.0,12427.0,98049030.0,,,,,
대산F&B,065150,1450.0,0.0,0.0,,,,,
